movie_title,tomatometer_rating,audience_rating
Cam2Cam,0,8
Cameraman: The Life And Work Of Jack Cardiff,97,91
Cameraperson,99,69
Camilla,40,39
Camille Claudel,100,88
"Camille Claudel, 1915",80,47
Camino,32,20
Camp,64,68
Camp Rock 2: The Final Jam,63,55
Camp Nowhere,18,58
Camp Rock,45,75
Camp X-Ray,75,63
Campfire,88,75
Can We Take a Joke?,55,75
Can You Keep a Secret?,30,44
Canadian Bacon,14,52
The Candidate,87,74
Candy,47,77
Candy Jar,71,69
Candyman,74,61
Candyman: Farewell to the Flesh,28,30
Cannery Row,80,72
Cannes Man,50,45
Cannibal,64,36
Cannibal Ferox,40,44
Cannibal Holocaust,65,62
Cannibal! The Musical (Alferd Packer: The Musical),63,82
Cannonball Run II,13,46
Canoa,80,90
Canopy,75,34
Can't Buy Me Love,50,74
Can't Hardly Wait,40,63
Can't Stand Losing You,35,62
Can't Stop the Music,7,38
"Can't Stop, Won't Stop: A Bad Boy Story",38,46
I Can't Think Straight,16,62
Cantinflas,45,67
Capernaum (Capharnaüm),90,92
Capital,58,47
Capitalism: A Love Story,75,74
Capricorn One,62,58
Captain Abu Raed,80,79
Captain America,7,16
Captain America: Civil War,91,89
Captain America: The First Avenger,80,74
Captain America: The Winter Soldier,90,92
Captain Corelli's Mandolin,28,50
Captain Fantastic,82,85
Captain Horatio Hornblower,100,77
Captain January,86,75
Captain Kidd,100,46
Captain Marvel,78,53
Captain Phillips,93,89
Captain Ron,23,52
Captain Underpants: The First Epic Movie (Captain Underpants),88,61
Captive,27,43
Captive State,44,38
Captivity,9,23
Capture the Flag,48,41
Capturing the Friedmans,97,89
Car Wash,87,61
Caramel,92,81
Carbon Nation,40,76
Cardboard Boxer,38,54
The Cardinal,54,67
The Care Bears Movie,50,58
Career Opportunities,38,37
Careful,83,81
Careful What You Wish For,17,62
Cargo,67,33
Cargo,88,66
Carlito's Way: Rise to Power,33,50
Carlos,93,85
Carmen Jones,80,78
Carnage,71,66
Carnage Park,62,30
Carnal Knowledge,86,72
Carol,94,74
Carol Channing: Larger Than Life,90,87
Carousel,83,61
The Carpetbaggers,29,65
Carpool,13,39
Carrie,50,44
Carrie Pilby,62,74
Carrington,52,74
Carry On Camping,40,78
Cars,75,79
Cars 2,39,49
Cars 3,69,69
Cartel Land,90,82
Carter & June,13,33
Cas & Dylan,31,60
Casa de los Babys,58,50
Casa de mi padre,41,35
Case 39,21,39
Casey's Shadow,78,73
Cash,20,38
Cashback,48,77
Casino Jack,40,34
Casino Jack And The United States Of Money,82,80
Casino Royale,95,89
Casper,46,49
Casper: A Spirited Beginning,0,42
Cassadaga,18,24
Cassandra's Dream,46,49
Cast Away,88,84
Casting About,63,0
Casting By,94,79
Castle Freak,63,45
Castle Keep,38,49
Casualties of War,84,75
Cat Ballou,100,74
Cat Chaser,40,16
Dr. Seuss' The Cat in the Hat,9,52
Cat Run,14,33
Catch-22,79,76
Catch a Fire,75,71
Catch and Release,22,55
Catch Hell,0,31
Catch Me If You Can,95,89
Catch That Kid,13,47
Catchfire (Backtrack),50,24
Catching Feelings,100,60
Caterina in the Big City,89,77
Caterpillar,85,53
Catfight,73,42
Catfish,80,70
Cats & Dogs,53,32
Cats & Dogs: The Revenge of Kitty Galore,13,38
Cats Don't Dance,74,80
Stephen King's 'Cat's Eye',67,49
The Cat's Meow,75,51
Catwalk: Tales From The Cat Show Circuit,80,73
Catwoman,9,18
Caught,67,28
Caught Inside,83,36
Caught Up,0,55
Cautiva,71,81
Cavalcade,58,26
The Cave,12,28
Cave of Forgotten Dreams,96,73
The Cave of the Yellow Dog (Die Hohle des gelben Hundes),90,87
Caveman,22,54
Cavemen,8,58
CB4,55,62
CBGB,7,42
Cecil B. Demented,53,67
Cedar Rapids,86,59
Celeste and Jesse Forever,71,62
Celine: Through The Eyes Of The World,33,78
Cell,11,17
Cell 213,17,15
Cellmates,47,63
Cellular,55,59
The Celluloid Closet,96,89
Celtic Pride,9,31
The Cemetery Club,57,32
Cemetery Junction,55,63
The Center of the World,35,41
Center Stage,42,82
Central Station (Central do Brasil),94,95
Central Intelligence,71,61
Centurion,61,43
Ceremony,40,31
Certain Women,91,50
Certified Copy (Copie Conforme),89,70
Cesar Chavez,38,60
Chain Letter,29,46
Chained,68,53
Chairman of the Board,13,20
Chak de! India,93,92
Chalet Girl,77,53
Chalk,81,61
The Chamber,12,39
Champs,61,95
Chan Is Missing,100,75
Chances Are,67,65
Chandni Chowk To China,42,30
Change in the Air,11,71
Changeland,63,72
The Changeling,82,79
Changing Lanes,77,53
Changing the Game,83,78
Chaos Theory,31,58
Chaplin,60,81
Chappaquiddick,81,68
Chappie,32,56
Charge of the Light Brigade,71,60
Chariots of Fire,84,80
Charley Varrick,88,82
Charlie and the Chocolate Factory,83,51
Charlie Bartlett,57,71
A Charlie Brown Thanksgiving,100,75
Charlie Casanova,13,41
Charlie Chan and the Curse of the Dragon Queen,33,32
Charlie Countryman,27,49
Charlie Says,60,80
Charlie St. Cloud,27,60
Charlie Wilson's War,82,73
Charlie's Angels,68,45
Charlie's Angels - Full Throttle,42,40
Charlotte Gray,33,63
The Look,84,52
Charlotte's Web,79,62
Charm City,100,100
Charulata,93,91
Chasers,33,21
Chasing Amy,87,83
Chasing Coral,100,88
Chasing Ice,96,85
Chasing Liberty,18,60
Chasing Madoff,46,42
Chasing Mavericks,32,70
Chasing Papi,14,40
Chasing the Dragon,50,74
Chasing Trane: The John Coltrane Documentary,75,74
Chastity Bites,100,50
Chatroom,9,34
Chattahoochee,14,51
Chavela,95,90
Che: Part Two (Guerrilla),79,66
The Cheap Detective,47,58
Cheap Thrills,88,69
Cheaper by the Dozen,24,56
Cheaper by the Dozen,80,66
Cheaper by the Dozen 2,6,57
Checking Out,43,60
Cheech and Chong's Nice Dreams,43,68
Cheerful Weather For The Wedding,37,27
Cheetah,50,59
The Cheetah Girls,67,49
Chef,87,85
Chef Flynn,73,75
Chelsea on the Rocks,71,44
Chelsea Walls,26,40
Chely Wright: Wish Me Away,92,85
Chennai Express,47,52
Chéri,50,40
Cherish,51,55
Chernobyl Diaries,19,28
Cherry 2000,40,41
Cherry Tree,9,21
Cherry Tree Lane,63,25
Cheyenne Autumn,62,46
Chi-Raq,82,50
Chi-Town,100,80
Chicago,85,83
Chicken Little,37,47
Chicken People,100,62
Chicken Run,97,64
Chicken with Plums,74,71
Chico & Rita,87,77
Child 44,27,41
Child Of God,42,26
Children of a Lesser God,81,79
Children of Heaven (Bacheha-Ye aseman),83,96
The Children of Huang Shi,31,66
Children Of Invention,79,60
Children of Love,86,33
Children of Men,92,85
Children of Paradise (Les Enfants du Paradis),97,96
Children of the Corn 666: Isaac's Return,0,31
Children of the Corn II: The Final Sacrifice,22,20
Children of the Corn V: Fields of Terror,0,22
Children of the Revolution,80,71
Children Shouldn't Play with Dead Things,42,40
Children Underground,94,92
The Children's Hour,86,84
Child's Play,68,63
Child's Play 2,44,47
Child's Play,63,57
Child's Play 3,29,33
Child's Pose,92,76
Chill Factor,10,30
Chillerama,40,44
Chimera Strain,60,93
Chimes at Midnight,98,85
China Heavyweight,82,60
China Moon,40,37
China Seas,80,72
The China Syndrome,84,81
Chinatown,99,93
Chinese Box,64,54
Fist of Fury (Jing wu men),92,83
Chinese Puzzle (Casse-tête chinois),78,67
Chinese Zodiac,25,45
Chipmunk Adventure,75,88
CHIPS,18,45
Chisum,83,74
Chitty Chitty Bang Bang,67,71
Chloe in the Afternoon (L'amour l'après-midi),90,89
Chlorine,8,36
Chocolat,62,83
Choke,55,52
Choking Man,50,38
Chooch,0,50
Choose Connor,43,47
Chopper,72,89
Chopping Mall (Killbots),56,38
Chopsticks,20,88
The Chorus (Les Choristes),69,92
A Chorus Line,40,62
Chris & Don,94,85
Chris Rock: Bigger & Blacker,86,89
Chris Rock: Tamborine,100,35
Christine,71,63
Christine,88,71
Christmas Carol - The Movie,17,47
Christmas Eve,0,53
Christmas Evil,83,31
Christmas Inheritance,43,34
Christmas With the Kranks,5,37
Christopher Robin,73,83
Chronic,76,57
Chronically Metropolitan,40,39
Chronicle,85,71
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",76,61
The Chronicles of Narnia: Prince Caspian,66,73
The Chronicles of Narnia: The Voyage of the Dawn Treader,50,58
The Chronicles of Riddick,29,65
Chroniques sexuelles d'une famille d'aujourd'hui (Sexual Chronicles of a French Family),0,26
Chrystal,80,57
Chuck & Buck,84,66
Chuck Berry: Hail! Hail! Rock 'n' Roll,87,95
Chuck Close: A Portrait in Progress,100,82
C.H.U.D. (Chud),29,32
The Chumscrubber,37,76
Church Ball,18,39
Churchill,49,55
Chutney Popcorn,83,50
Ciao,25,44
Ciao! Manhattan,64,64
Cidade dos Homens (City of Men),75,78
The Cider House Rules,71,77
The Cincinnati Kid,85,78
Cinderella,97,80
Cinderella,85,78
Cinderella II: Dreams Come True,11,32
Cinderella III: A Twist in Time,75,61
Cinderella Liberty,57,62
Cinderella Man,80,91
A Cinderella Story,12,53
Cinema Paradiso (Nuovo Cinema Paradiso),90,97
Cinemania,86,65
Circle,60,42
Circle of Iron,43,59
Circo,92,80
Circumstance,86,67
Cirque Du Soleil: Worlds Away,45,96
Citadel,53,32
Citizen Duane,33,38
Citizen Jane: Battle for the City,95,69
Citizen Kane,100,90
Citizen Koch,54,55
Citizen Ruth,81,74
Citizen Soldier,86,67
Citizen Verdict,20,22
Citizen X,88,86
Citizenfour,96,87
City by the Sea,47,40
City for Conquest,80,76
City Hall,56,37
City Heat,19,23
City Hunter (Sing si lip yan),43,61
City Island,81,79
City Lights,98,96
City of Angels,58,82
City of Ember,53,46
City of Ghosts,47,46
Cidade de Deus (City of God),91,97
City Of Gold,90,80
City of Joy,56,75
City of Joy,100,62
City of Life and Death,92,86
The City of Lost Children (La Cité des Enfants Perdus),79,90
Paura nella città dei morti viventi (City Of The Living Dead) (The Gates of Hell),50,56
City of Women (La città delle donne),71,75
The City of Your Final Destination,38,38
City Slickers,88,64
City Slickers 2 - The Legend of Curly's Gold,18,31
Civic Duty,57,33
A Civil Action,61,55
Civil Brand,16,81
CJ7,49,52
The Claim,62,49
Claire in Motion,59,29
Claire of the Moon,13,45
Claire's Camera (La caméra de Claire),88,59
The Clan of the Cave Bear,10,47
Clara,48,95
Clara's Ghost,74,33
Clash by Night,73,70
Clash of the Titans,68,70
Wrath of the Titans,27,49
Clash of the Titans,27,40
Class,25,50
Class of 1984,74,67
Class of 1999,67,49
Class of Nuke 'Em High,20,49
Class Rank,86,65
Clay Pigeons,62,67
Clean and Sober,62,62
"Clean, Shaven",90,83
Cleaner,17,40
Cleanskin,53,65
Clear and Present Danger,80,74
Clear History,61,54
The Clearing,43,32
Cleopatra Jones,91,45
Cleopatra's Second Husband,52,12
Clerks,88,89
Clerks II,63,84
Click,33,66
The Client,78,69
Clifford,10,67
Clifford's Really Big Movie,53,34
Clip,50,47
Cloak and Dagger,64,55
The Clock,100,82
Clockers,69,74
Clockstoppers,29,30
Clockwise,80,65
A Clockwork Orange,89,93
Star Wars: The Clone Wars,18,39
Close,37,35
Close Encounters of the Third Kind,95,85
Close Range,86,27
Close-up (Nema-ye Nazdik),88,89
Closed Circuit,43,31
Ostre Sledované Vlaky (Closely Watched Trains),100,87
Closer,68,81
Closer To The Moon,46,55
The Closet (Le Placard),85,78
Closet Monster,80,72
Cloud Atlas,66,66
Cloudburst,100,77
Clouds of Sils Maria,90,65
Cloudy with a Chance of Meatballs 2,71,66
Cloverfield,77,68
Clown,46,37
Clowntergeist,17,28
ClownTown,9,30
Club Dread,29,44
Club Life,20,17
Club Paradise,11,35
Clue,59,86
Clueless,79,76
Coach Carter,64,85
Coachella,88,75
Coal Miner's Daughter,89,86
Cobb,65,59
Cobra,14,42
Cobra Verde,88,76
The Cockettes,90,83
Cockneys vs Zombies,76,45
Cocktail,5,58
Cocktail,60,45
Coco,97,94
Coco Before Chanel,63,57
Coco Chanel & Igor Stravinsky,53,43
Cocoon: The Return,33,35
Code 46,50,59
Code Black,88,80
Code Name: Geronimo,36,28
Code Name: The Cleaner,4,38
Code of Silence,63,51
Code Unknown (Code inconnu: Récit incomplet de divers voyages),74,79
Codegirl,60,71
Coffee and Cigarettes,64,75
Coffin Rock,70,30
Coffy,79,76
C.O.G.,69,35
Coherence,88,81
Cold Comes The Night,44,29
Cold Creek Manor,12,23
Cold Fish,76,75
Cold in July,83,67
Cold Moon,75,37
Cold Mountain,71,77
Cold Pursuit,70,51
Cold Skin,46,57
Cold Souls,75,54
Cold Sweat (Sudor frío),73,42
Cold Turkey,20,37
Cold War 2,56,57
Cold Weather,78,52
Coldwater,62,60
Colette,87,71
Collaborator,73,62
Collateral,86,84
Collateral Beauty,14,64
College Road Trip,12,50
Collide,21,35
Colliding Dreams,94,62
Colma: The Musical,90,69
Colombiana,28,67
Colonia,26,60
The Color of Lies (Au coeur du mensonge),100,60
The Color of Friendship,100,76
The Color of Money,89,73
Color of Night,21,30
The Color of Paradise,87,96
The Color Purple,80,94
Colossal,80,59
Color Me Kubrick,50,42
The Comancheros,100,75
Combat Shock (Fuerza en combate),40,65
Come And Find Me,62,33
"Come Back, Little Sheba",86,80
Come Back To Me,17,36
Come Out And Play,50,23
Come See the Paradise,64,74
Come Sunday,68,59
Come Undone (Cosa voglio di più),86,50
Come Undone,77,67
Come What May,45,53
The Comebacks,9,33
Comedian,77,69
The Comedians,27,49
The Comedians of Comedy,44,83
Comes A Bright Day,38,34
Comes a Horseman,70,55
Comet,42,52
Comic Book Confidential,75,63
Comic Book - The Movie,40,39
Comic-Con: Episode IV - A Fan's Hope,83,80
Coming Through The Rye,70,65
Coming to America,67,85
Coming Up Roses,17,67
Commandments,24,36
Commitment,40,58
Commune,95,46
Compadres,38,51
Company Man,14,45
The Company of Wolves,79,73
A Complete History of My Sexual Failures,56,56
Complete Unknown,51,25
Compliance,89,60
Compulsion,100,85
Computer Chess,88,53
The Computer Wore Tennis Shoes,50,41
Comradeship (Kameradschaft),88,79
Con Artist,100,83
Con Air,55,75
Conan O'Brien Can't Stop,81,68
Conan the Barbarian,66,74
Conan the Barbarian,25,30
Conan the Destroyer,26,38
Concerning Violence,90,71
Concussion,74,49
Concussion,59,74
The Condemned,15,58
Condorman,25,65
Coneheads,35,37
Confessions of a Burning Man,30,60
Confessions of a Dangerous Mind,79,75
Confessions of a Shopaholic,25,49
Confessions of a Superhero,100,73
Confessions of a Teenage Drama Queen,14,35
Confetti,57,48
Confidence,69,70
Confirmation,83,74
Confucius,45,38
Congo,22,29
"Congo: White King, Red Rubber, Black Death",100,80
"Connected: An Autoblogography About Love, Death & Technology",36,46
Conor McGregor: Notorious,50,72
Conquest Of The Planet Of The Apes,48,46
Conspiracy Theory,56,64
The Constant Gardener,83,82
Constantine,46,72
Constantine's Sword,87,77
Contagion,84,63
Conte d'hiver (A Tale of Winter),95,80
Contempt,94,85
Continental Divide,70,54
Contraband,51,57
Contract Killer,80,54
Contract to Kill,0,19
Contracted,53,29
Contracted: Phase II,38,14
Control,88,89
Conventioneers,75,59
The Conversation,98,90
Conviction,67,70
Coogan's Bluff,94,51
Cook Off!,14,68
"The Cook, the Thief, His Wife & Her Lover",87,88
Cookie,17,39
The Cookout,5,38
Cool as Ice,7,44
A Cool Dry Place,54,60
Cool Hand Luke,100,95
Cool It,51,74
The Cooler,77,69
Cooley High,83,89
Cooties,45,37
Cop,81,49
Cop & 1/2,14,35
Cop Car,80,53
Cop Land,74,67
Cop Out,18,39
Copperhead,21,44
Cops And Robbersons,14,22
Copwatch,56,78
"Copying Beethoven, (Klang der Stille)",28,57
Coral Reef Adventure,91,73
Coraline,91,73
The Core,40,34
Coriolanus,92,58
Corky Romano,6,39
Corman's World: Exploits Of A Hollywood Rebel,92,84
Corpo Celeste,83,44
Corporate Animals,27,19
The Corporation,90,90
Tim Burton's Corpse Bride,84,77
Correspondence (La corrispondenza),14,36
"Corrina, Corrina",39,69
The Corruptor,48,43
Corvette Summer,50,43
Cosmopolis,66,31
Cost of a Soul,27,52
Cottage Country,20,29
The Couch Trip,38,45
"Count Yorga, Vampire",50,42
Countdown to Zero,79,72
Counterfeiters,67,90
The Country Bears,30,32
Country Strong,22,53
"The Aryan Couple, (The Couple)",12,57
Couples Retreat,10,39
Courage Under Fire,85,66
Courageous,33,86
Court,98,80
The Court Jester,96,94
Cousin Jules,100,83
Cousins,50,67
The Covenant,4,62
Cover,0,78
The Wicker Tree,29,10
Cowboys & Aliens,45,43
Coyote Lake,80,93
Coyote Ugly,23,71
CQ,66,69
Cracks,43,48
Cradle 2 the Grave,25,52
Cradle Will Rock,64,71
The Craft,55,65
Craigslist Joe,20,64
Crank,61,71
Crank 2: High Voltage,64,49
Crash Pad,54,54
Crave,31,26
Crawford,100,72
Crawl,63,20
Crawl,82,75
The Crazies,67,43
Crazy/Beautiful,63,69
Crazy About Tiffany's,27,37
Crazy as Hell,50,54
Crazy Eyes,26,21
Crazy Heart,90,76
Crazy Horse,85,53
Crazy in Alabama,30,64
Crazy Love,78,73
Crazy on the Outside,8,28
Crazy People,37,62
Crazy Rich Asians,91,76
"Crazy, Stupid, Love.",79,78
Creative Control,59,39
Creator,33,76
Creature,10,16
Creed,95,89
Creed II,84,80
Creep,89,65
Creep 2,100,72
Creeping Flesh,80,54
Creepshow,73,68
Creepshow 2,33,40
Creepy (Kuripi: Itsuwari no rinjin),91,58
Cries and Whispers,89,91
Crime After Crime,91,82
Crime & Punishment in Suburbia,21,58
The Crime of Padre Amaro,61,74
Crime Spree,33,56
Crimes of Passion,36,56
Crimes of the Heart,81,66
Criminal,30,47
Criminal Activities,48,42
Criminal Law,33,27
Crimson Peak,73,55
The Crimson Pirate,100,85
Crimson Tide,88,83
Criss Cross,100,79
Critical Care,59,31
Critters,58,45
Critters 2: The Main Course,27,36
Critters 3,0,23
"Crna macka, beli macor (Black Cat, White Cat)",83,95
Crocodile Dundee,87,59
Crocodile Dundee II,11,38
Crocodile Dundee in Los Angeles,11,25
Cromwell,33,69
Crónicas,71,76
Cronos,90,70
Crooked Arrows,41,62
Crooked House,57,59
Crooklyn,77,90
Cropsey,91,61
Cross Creek,67,76
Cross of Iron,75,87
Crossfire,81,76
Crossfire Trail,40,78
Crossing Delancey,88,79
The Crossing Guard,75,53
Crossing Over,16,49
Crossing the Line,90,85
Crossover,2,59
Crossworlds,20,40
"Crouching Tiger, Hidden Dragon",97,86
The Crow,82,90
The Crow - Salvation,22,43
The Crow: City of Angels,12,40
Crown Heights,76,77
Cruel Intentions,54,81
Cruel Intentions 2,17,21
The Cruise,86,88
Cruise,38,74
Cruising,51,48
Crumb,95,89
Crush The Skull,100,51
Crusoe,67,44
Cry-Baby,72,77
Cry Freedom,83,88
Evil Angels (A Cry in the Dark),93,74
Cry of the Owl,11,20
Cry_Wolf,24,51
The Crying Game,94,78
Crypto,20,66
Crystal Fairy,83,49
CSA: The Confederate States of America,80,56
CSNY Déjà Vu,68,71
Cthulhu,62,28
Cub (Welp),35,34
Cuba And The Cameraman,100,91
Cuban Fury,54,43
Cube,63,76
Cube 2 - Hypercube,45,35
Cuck,50,39
Cujo,61,45
Cult of Chucky,78,47
Cupcakes,77,62
Curdled,17,57
The Curious Case of Benjamin Button,71,80
Curly Sue,13,50
Curse of Chucky,76,56
The Curse of Frankenstein,82,77
The Curse of the Cat People,90,66
Curse of the Demon,100,85
Curse of the Golden Flower,65,65
The Curse of the Jade Scorpion,46,53
Curse of the Pink Panther,29,25
Curtains,57,39
Curvature,47,66
Dead Man's Curve,11,53
Custer of the West,25,32
Cut,11,25
Cut Bank,35,29
Cut Shoot Kill,67,50
Cut Sleeve Boys,45,49
Cut Snake,69,44
Cutie And The Boxer,95,75
Cutter's Way,91,70
Cutthroat Island,38,40
Cyber-Seniors,80,58
Cypher,58,65
Cyrano de Bergerac,85,82
Cyrus,80,53
D2: The Mighty Ducks,20,59
D3: The Mighty Ducks,20,45
D-Tox (Eye See You),15,28
The D Train,53,23
Da Sweet Blood of Jesus,47,17
The Da Vinci Code,25,57
Dabangg,60,61
Dad,60,60
Daddy Day Camp,1,38
Daddy Day Care,27,48
Daddy's Home 2,21,50
Daddy's Home,31,49
Daddy's Little Girls,26,81
Dagon,67,56
Daguerrotype (Le secret de la chambre noire),43,55
Dahmer,69,40
Dai-Nipponjin (Big Man Japan),76,54
Daisy Kenyon,100,59
Daisy Miller,100,24
Daleks - Invasion Earth 2150 A.D.,80,54
Dallas Buyers Club,93,91
Damage,78,73
Damascus Cover,14,64
Damien---Omen II,44,49
Damn the Defiant!,100,62
Damnation Alley,44,35
The Damned United,92,85
Damsel,69,57
Damsels in Distress,75,39
Dan in Real Life,64,69
Dance Academy: The Comeback,100,84
Dance Flick,18,30
"Dance, Girl, Dance",80,65
Dance Me Outside,69,91
Dance with Me,51,67
Dancer,88,88
Dancer in the Dark,69,91
"Dancer, Texas Pop. 81",80,72
The Dancer Upstairs,64,77
Dances With Wolves,82,87
Dancing Across Borders,57,70
Dancing at Lughnasa,66,58
Dancing at the Blue Iguana,23,42
Dancing In Jaffa,88,73
Dancing Lady,80,69
Danger Close,20,83
Danger: Diabolik,70,72
Dangerous Beauty,68,85
Dangerous Ishhq,20,28
Dangerous Liaisons,68,53
The Dangerous Lives of Altar Boys,77,79
Dangerous Minds,28,64
A Dangerous Woman,55,33
Daniel,43,53
Daniel & Ana,56,89
Danika,29,32
Danny Collins,77,73
Danny Deckchair,55,77
Danny Says,74,51
Unleashed,65,75
Dante's Peak,26,38
Darby O'Gill and the Little People,100,77
Dare,57,34
Daredevil,44,35
The Darjeeling Limited,69,78
Dark Shadows,36,46
Dark Blue,58,52
Dark Blue World,62,84
Dark City,76,85
Dark Crimes,0,31
The Dark Crystal,79,81
Dark Days,94,89
Entre tinieblas (Dark Habits) (Dark Hideout),69,69
The Dark Half,56,37
Dark Horse,70,41
Dark Matter,40,40
Dark Night of the Scarecrow,50,64
The Mercenaries (Dark of the Sun),67,76
Dark Passage,93,82
Dark Phoenix,23,64
Dark Places,24,33
Dark River,79,65
Dark Signal,33,35
Dark Skies,41,49
Dark Summer,29,15
Dark Tide,0,15
Dark Touch,64,28
Dark Victory,86,81
Dark Was The Night,52,34
Dark Water,47,28
Darkest Hour,85,82
Darkman,84,58
Darkman II: The Return of Durant,29,20
Darkman III: Die Darkman Die,33,21
Darkness,4,31
Darkness Falls,9,34
Darkon,89,65
Darlin',70,62
Darling,71,45
Darling Companion,21,29
Darling Lili,40,69
D.A.R.Y.L.,53,54
Das finstere Tal (The Dark Valley),40,66
Das Versprechen (The Promise),71,74
Date And Switch,30,38
Date Night,66,55
Date with an Angel,14,58
American Experience,79,60
Daughter of the Wolf,22,51
Daughters of the Dust,98,65
Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders,83,89
Dave,95,72
Dave Chappelle: Sticks & Stones,35,99
David and Bathsheba,83,31
David & Layla,53,43
David and Lisa,83,80
David Cross: Making America Great Again,71,55
"Davy Crockett, King of the Wild Frontier",100,78
Dawn of the Dead,75,77
Dawn Of The Planet Of The Apes,91,88
Dawn Patrol,0,9
The Day After Tomorrow,44,50
A Day at the Races,100,89
Day for Night,100,91
Day Night Day Night,69,56
Day of the Dead: Bloodline,13,9
Day of the Falcon,11,51
Day of the Flowers,58,52
The Day of the Jackal,91,88
The Day of the Locust,64,76
The Day the Earth Stood Still,21,27
Day Watch,63,68
Day Zero,24,45
Daybreakers,68,49
Daydream Nation,68,50
Daylight,25,37
Daylight,91,63
Daylight Robbery,22,45
Giorni e Nuvole (Days and Clouds),81,62
Days and Nights,0,36
Days of Glory,82,79
Days of Grace,65,64
Days of Heaven,92,89
Days of Thunder,39,60
The Daytrippers,75,75
Dazed and Confused,91,90
D.C. Cab,17,53
DCU: Justice League: The Flashpoint Paradox,100,92
Ddongpari (Breathless),83,82
De rouille et d'os (Rust and Bone),82,80
De Sade,0,25
De zaak Alzheimer (The Memory of a Killer),84,80
Dead Man Running,14,52
Dylan Dog: Dead of Night,7,29
Dead Again,83,77
Dead Alive,88,87
Dead and Buried,69,58
Dead Ant,64,50
Dead Awake,20,18
Dead Bang,33,43
Dead Calm,82,63
Dead Heat on a Merry-Go-Round,40,34
Dead Hooker in a Trunk,80,42
Dead Man,71,88
Dead Man Down,39,47
Dead Man on Campus,15,55
Dead Man's Burden,72,49
Dead Man's Shoes,57,91
Dead Men Don't Wear Plaid,79,72
Dead Night,63,56
Dead of Night (Deathdream),83,64
Dead of Winter,83,44
Dead or Alive: Final,45,41
Dead Poets Society,84,92
The Dead Pool,57,44
Dead Ringer,100,79
Dead Ringers,82,82
Dead Silence,20,51
Dead Snow (Død snø),68,56
Dead Snow 2: Red vs. Dead (Død snø 2),81,68
Dead Water,0,33
The Dead Zone,91,77
Deadfall,35,37
Deadline,0,53
Deadly Blessing,14,28
The Deadly Companions (Trigger Happy),83,32
Deadly Friend,11,39
Deadpool,84,90
Deadpool 2,84,85
Deal of the Century,11,17
Dealing With Idiots,37,31
Dealt,95,84
Dear Lemon Lima,73,63
Dear Diary (Caro diario),62,86
Dear Dictator,17,46
Dear Ex,89,87
Dear Frankie,81,91
Dear God,12,28
Dear John,29,55
Dear Mr. Watterson,62,51
Dear Wendy,36,66
Dear White People,91,61
Death and the Maiden,84,81
Death at a Funeral,62,79
Death at a Funeral,42,45
Death Becomes Her,52,61
Death by China,33,72
Death Defying Acts,42,26
Death House,40,42
Death Line (Raw Meat),91,43
Death Note,39,24
Death of a Cyclist (Muerte de un ciclista),100,86
Death of a President,37,58
Death Proof,63,72
Death Race,42,60
Death Race 2,17,37
Death Race 2000,83,64
Death Race 3: Inferno,50,45
Da uomo a uomo (Death Rides A Horse) (As Man to Man),40,70
Death Sentence,21,60
Death Takes a Holiday,88,80
Death to Smoochy,42,66
Death Wish,65,69
Death Wish,18,73
Death Wish 3,6,55
Death Wish 4: The Crackdown,14,40
Death Wish II,33,44
Death Wish V: The Face of Death,0,32
Deathgasm,87,65
The Deaths of Ian Stone,57,34
Deathtrap,75,71
D.E.B.S.,39,55
Decasia,86,81
December Boys,41,52
Deception,11,31
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,92,71
Decision Before Dawn,100,69
Deck the Halls,6,30
Declaration of War,86,70
The Decline of Western Civilization Part II: The Metal Years,89,77
Decoding Annie Parker,56,41
Decoding Deepak,50,59
Dead Sushi,100,53
Dedication,40,64
The Deep,44,37
Deep Blue Sea 2,0,9
The Deep End,82,59
The Deep End of the Ocean,43,59
Deep Impact,45,43
Deep Red (Profondo rosso),96,86
Deep Rising,29,43
Deep Sea 3D,91,79
Deep Web,75,71
Deeply,20,59
DeepStar Six,0,23
Deepwater Horizon,83,82
Defamation,85,75
Defending Your Life,97,83
Defendor,73,58
Defence of the Realm (Defense of the Realm),100,68
Defiance,57,72
The Defiant Ones,82,87
Deidra & Laney Rob a Train,92,57
Déjà Vu,55,73
Delgo,12,26
Delhi Belly,88,82
Delhi Safari,14,35
Deli Man,81,66
Delicatessen,89,91
Delirious,44,40
Delirium,0,43
Deliver Us From Eva,44,76
Deliver Us from Evil,100,89
Deliver Us from Evil,28,42
Deliverance,92,82
Delivery Man,40,47
Delivery: The Beast Within,71,30
De-Lovely,48,66
Delta Farce,5,38
The Delta Force,18,50
Delta Force 2: The Colombian Connection,11,40
Delta of Venus,0,51
Dementia 13,65,35
Demetrius and the Gladiators,80,64
Demolition,53,54
Demolition Man,62,66
Demon,92,56
Demon House,40,61
Demon Seed,67,46
Demonlover,51,41
Demons 2: The Nightmare Returns,60,44
Den of Thieves,41,62
Denial,82,71
Dennis the Menace,27,38
The Dentist 2: Brace Yourself,0,24
The Departed,91,94
Depraved,87,58
The Circle,100,77
Der Samurai,100,51
