movie_title,tomatometer_rating,audience_rating
Three Blind Mice,80,50
The Last Song,20,66
Babies,68,62
Lottery Ticket,35,44
Going the Distance,53,52
Life as We Know It,29,61
The Final,13,32
Frozen,63,46
Prodigal Sons,86,79
The Ghost Writer,84,70
Repo Men,22,41
7 Days (Les 7 jours du talion),86,68
Daddy Longlegs,80,51
Winter's Bone,94,76
The Kids Are All Right,93,74
Lucky,60,39
High School,26,48
Stolen,0,39
The Killing Jar,0,35
La MISSION,50,72
Predators,65,52
Stonewall Uprising,84,76
The Oath,91,79
The Wild Hunt,82,74
The Lottery,62,76
Assault on Precinct 13,98,80
Asylum,64,47
Attack of the 50 Foot Woman,75,21
Avenging Angel,33,26
The Awakening,0,21
Babes in Toyland,36,60
Bad Company,91,71
The Bad News Bears,97,80
The Bad Seed,63,83
Bang The Drum Slowly,92,62
Battleground,100,83
Beauty and The Beast (La Belle et la bête),95,90
1001 Grams,82,46
The Best of Times,31,43
Betrayed,42,52
The Big Brawl (Battle Creek Brawl),67,43
Big Business,44,69
The Big Heat,100,90
The Big Sleep,97,91
The Big Sleep,67,26
The Birds,95,83
Black Christmas,71,75
The Black Hole,40,45
The Black Pirate,100,67
Black Rain,52,55
Black Sunday,69,64
Black Widow,48,40
Blackmail,86,65
Blind Date,21,43
Blood and Sand,100,67
Blood Feast,38,45
Der Blaue Engel (The Blue Angel),95,87
Bluebeard,100,38
The Border,80,53
Born Yesterday,95,86
The Boston Strangler,86,49
The Bounty,78,72
The Boys from Brazil,69,67
Brainstorm,59,55
Breakout,33,42
Brewster's Millions,36,55
Brian's Song,85,82
Brief Encounter,91,91
Broken Arrow,89,70
Broken Blossoms,95,71
The Brotherhood,75,25
Bug,29,25
Burglar,27,40
Bus Stop,79,62
Butch Cassidy and the Sundance Kid,90,92
Bye Bye Birdie,89,66
Calamity Jane,75,88
Camelot,44,70
Camille,92,84
Cape Fear,100,86
Captain Blood,100,89
Captains Courageous,94,89
Carnival of Souls,86,73
Carrie,92,77
Casablanca,98,95
Casino Royale,26,35
The Cat and the Canary,94,74
Cat on a Hot Tin Roof,97,92
Cat People,93,73
Cat People,61,45
Caught,100,78
The Champ,38,82
Champion,93,74
Charade,95,92
Charlotte's Web,76,67
The Chase,83,74
Checking Out,20,18
Children of the Corn,36,40
The Chosen,75,79
A Christmas Carol,100,74
Christmas in Connecticut,88,75
A Christmas Story,89,88
Cimarron,55,25
Cleopatra,61,69
College,89,73
Colors,81,72
Coma,80,66
Commando,70,67
Convoy,43,73
Countdown,80,28
The Country Girl,86,78
Cover Girl,95,70
Creature from the Black Lagoon,85,73
Crossroads,73,82
Cutting Class,25,22
Damn Yankees,76,70
Dangerous,80,61
Dangerous Liaisons,93,83
The Dark Mirror,67,57
Darling,69,71
Day of the Dead,83,75
The Day the Earth Stood Still,95,87
Days of Wine and Roses,100,89
Dead Heat,11,49
Dead Reckoning,67,67
Death in Venice,67,81
Death of a Salesman,100,75
Dèmoni (Demons),60,65
The Desperate Hours,86,79
Devil Doll,20,28
Dillinger,92,73
Dinner at Eight,95,74
Distant Thunder,43,45
Doctor Zhivago,83,88
Dodge City,100,74
Dolls,62,51
Dr. Jekyll and Mr. Hyde,93,79
How the Grinch Stole Christmas,100,96
Dracula,91,82
Dracula,60,40
Dracula,63,58
Dragnet,50,41
The Dream Team,54,61
Dressed to Kill,83,74
Duel,88,84
Dune,53,66
The Eagle Has Landed,67,68
East of Eden,86,90
Easy Money,60,58
Eaten Alive,29,29
Edipo re (Oedipus Rex),86,78
The Elephant Man,91,93
The Enforcer,79,59
The Enforcer,88,70
Escape from New York,85,76
Exodus,67,70
Eyewitness,75,38
Fahrenheit 451,81,72
The Fan,43,33
Fandango,50,78
Far From the Madding Crowd,72,77
"Farewell, My Lovely",80,74
Fatal Attraction,75,71
Father of the Bride,93,74
Flash Gordon,80,69
Flashback,38,61
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),81,63
The Flight of the Phoenix,90,81
Flipper,40,49
The Fly,95,71
The Fly,92,83
Flying Tigers,67,69
Footloose,51,71
The Four Feathers,100,86
Frantic,78,64
Freaky Friday,70,57
Fright Night,91,76
From Here to Eternity,92,84
Frosty the Snowman,73,72
The Fugitive,86,61
Fun with Dick and Jane,58,51
Funny Farm,65,50
The Fury,78,49
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),33,29
Gallipoli,91,83
The Gambler,78,77
Game of Death,67,63
The General,92,92
The Getaway,85,82
Girls! Girls! Girls!,33,51
Gloria,92,80
Glory,93,93
Go West,89,59
Gone in 60 Seconds,43,66
The Goodbye Girl,83,84
"Goodbye, Mr. Chips",82,87
The Great Gatsby,39,47
The Great Race,74,83
The Green Berets,25,61
Grizzly,44,29
Gulliver's Travels,67,53
The Gunfighter,100,89
Gung Ho,33,45
Gypsy,64,74
Hairspray,98,80
Halloween,96,89
Hamlet,91,80
The Hand,11,28
Hard Times,92,81
Hardcore,78,67
The Harder They Fall,100,80
The Haunting,87,82
Hawaii,67,51
Heat,20,29
Heaven,60,67
Heaven Can Wait,89,68
Heidi,100,74
The Hidden Fortress (kakushi-toride No San-akunin),97,93
The Hills Have Eyes,67,54
The Hindenburg,33,37
The Hit,85,75
A Hole in the Head,75,49
100 Bloody Acres,79,46
100 Girls,60,50
100 Streets,41,36
The Hound of the Baskervilles,91,83
The Hound of the Baskervilles,94,72
House of Wax,95,72
House On Haunted Hill,92,73
Hud,82,89
The Human Factor,43,22
The Hunchback of Notre Dame,91,76
The Hunchback of Notre Dame,100,87
The Hunter,50,50
Hustle,71,46
"I, the Jury",40,38
Imitation of Life,84,91
The Importance of Being Earnest,88,83
Impulse,25,17
In Cold Blood,84,88
The Incubus,29,22
Indiscreet,100,69
The Informer,93,78
Inherit the Wind,92,91
Intolerance,97,77
Invaders from Mars,82,55
Invaders from Mars,36,33
Invasion of the Body Snatchers,98,85
Invasion of the Body Snatchers,93,81
The Invisible Man,100,85
The Island,40,51
The Island of Dr. Moreau,56,40
Islands in the Stream,88,60
It,100,82
It's Alive,75,39
Ivanhoe,80,65
Jack and the Beanstalk,43,37
Jack Frost,57,61
Jamaica Inn,55,35
Jason and the Argonauts,93,79
The Jazz Singer,74,57
The Jazz Singer,19,71
Jesus Christ Superstar,55,76
Johnny Belinda,89,88
Judex,90,82
Julius Caesar,95,81
Julius Caesar,40,35
Jungle Book,57,56
Kansas,20,19
Kickboxer,40,65
Kid Galahad,40,56
The Killer Elite,46,33
The King and I,96,83
King Kong,98,86
King Kong,53,31
The King of Comedy,88,90
King of Kings,85,77
King Solomon's Mines,92,60
The Lady Vanishes,98,88
The Ladykillers,100,87
Laura,100,91
Legend,36,73
Les Miserables,91,85
The Letter,100,83
Lilies of the Field,91,86
The Lion in Winter,92,90
The Little Drummer Boy,75,53
Little Lord Fauntleroy,88,72
The Little Princess,88,81
A Little Romance,69,85
The Little Shop of Horrors,92,55
Little Shop of Horrors,90,79
Little Women,93,78
Little Women,83,83
Lock Up,17,50
Lolita,93,84
Long Day's Journey Into Night,94,86
"The Long, Hot Summer",89,82
The Longest Yard,81,75
Look Back in Anger,92,76
The Lost Patrol,100,66
The Love Bug,75,66
Lovesick,40,29
Lust for Life,100,81
M,100,95
Made in Heaven,45,82
The Magic Flute (Trollflöjten),91,85
The Magnificent Ambersons,90,85
The Magnificent Seven,88,87
The Main Event,40,42
The Maltese Falcon,100,91
A Man for All Seasons,82,87
The Manchurian Candidate,96,90
The Manhattan Project,47,46
Manhunter,94,77
Mannequin,19,55
The Mark of Zorro,88,70
Marty,100,87
Masquerade,47,51
The Mechanic,40,66
The Men,77,74
Meteor,5,12
Metropolis,98,92
A Midsummer Night's Dream,91,62
Mighty Joe Young,95,63
The Miracle Worker,100,88
Missing in Action,20,42
The Mission,64,87
Mister Roberts,92,85
Moby Dick,86,73
Monkey Business,94,83
Monkey Business,88,68
Moonraker,61,43
Morning Glory,70,46
Moulin Rouge,78,90
Mr. & Mrs. Smith,67,49
Mrs. Soffel,36,45
The Mummy,93,72
The Mummy,89,64
Murder!,88,39
The Music Man,94,85
Mutiny on the Bounty,94,84
Mutiny on the Bounty,68,74
My Man Godfrey,97,90
Mysterious Island,85,63
Near Dark,88,74
Neighbors,63,49
Next of Kin,56,44
Nicholas and Alexandra,71,79
A Night at the Opera,97,91
Night of the Living Dead,97,88
A Night to Remember,100,90
Nighthawks,70,55
No Man's Land,50,63
No Mercy,21,29
No Way Out,91,72
The Nutty Professor,85,67
Obsession,77,59
The Odd Couple,100,89
Odd Man Out,100,86
The Odessa File,64,64
The Omen,85,80
On the Beach,76,69
On the Town,93,83
Only When I Laugh,57,42
Our Town,86,43
Out of the Dark,50,29
The Out-of-Towners,60,68
The Parent Trap,90,75
The Party,82,88
Pennies From Heaven,85,65
Peter Pan,80,80
The Phantom of the Opera,38,53
Phantom Of The Opera,91,84
The Picture of Dorian Gray,92,76
The Pink Panther,90,78
Piranha,72,41
The Pirates of Penzance,81,84
Pit and the Pendulum (The Pit and the Pendulum),84,74
Planet of the Apes,88,87
Point Blank,94,84
Pollyanna,85,79
Poltergeist,85,78
Popeye,60,38
The Poseidon Adventure,79,75
Posse,80,53
The Postman Always Rings Twice,92,79
The Postman Always Rings Twice,79,59
Power,50,44
Pride and Prejudice,100,77
The Prince and the Pauper,60,63
The Prisoner of Zenda,100,80
The Prisoner,67,71
The Producers,90,85
Project X,75,55
Prom Night,45,35
Promised Land,52,46
Prophecy,29,36
The Protector,20,45
The Prowler,67,49
The Public Enemy,100,84
Pulse,62,30
Quo Vadis?,88,73
A Raisin in the Sun,94,87
Raw Deal,25,28
The Razor's Edge,83,72
The Razor's Edge,50,77
Rear Window,100,95
Red Dawn,46,65
Red Heat,67,37
The Red Shoes,96,92
Red Sonja,15,28
Monanieba (Repentance),67,91
Return to Oz,52,71
Revenge,38,54
Rich and Famous,57,38
Risky Business,96,72
Road House,37,66
Robin Hood,54,81
RoboCop,89,84
Rock 'n' Roll High School,80,75
Rocky,94,69
Romeo and Juliet,94,74
Rudolph the Red-Nosed Reindeer,95,84
Runaway,44,32
Running Scared,60,59
Sabotage,100,69
Sabrina,92,89
Sahara,100,86
Samson and Delilah,63,58
Scanners,76,64
Scarecrow,78,79
Scarface,100,86
Scrooge,75,84
The Sea Hawk,100,87
Second Sight,0,30
Blind Terror (See No Evil),56,56
Separate Tables,73,77
Shadow of a Doubt,100,90
Shaft,88,68
The Shaggy Dog,67,48
Shakedown,63,41
Shall We Dance,89,85
The Shooting,100,67
Short Circuit,58,67
A Shot in the Dark,93,87
Show Boat,89,70
"Silent Night, Deadly Night",28,39
The Silent Partner,67,85
Silver Streak,80,71
Simon,57,69
Sinbad the Sailor,80,61
Skin Deep,38,56
Sleeping Beauty,88,80
Something to Sing About,100,31
Sorcerer,79,83
Sparkle,10,91
Spartacus,95,87
Spring Break,22,42
The Squeeze,17,29
The St. Valentine's Day Massacre,88,66
Stagecoach,100,86
Stage Fright,90,68
Stakeout,87,56
A Star Is Born,100,77
A Star Is Born,98,82
A Star is Born,36,64
101 Dalmatians,98,76
101 Dalmatians II: Patch's London Adventure,67,41
The Sting,93,95
The Stranger,96,80
A Streetcar Named Desire,98,90
Suddenly,100,63
Summer School,62,58
The Sundowners,82,63
The Sunshine Boys,78,73
Suspect,69,58
Suspicion,97,78
Svengali,83,80
Sweet Bird of Youth,75,72
Swing Time,100,87
Swiss Family Robinson,82,78
A Tale of Two Cities,100,84
The Taming of the Shrew,86,74
Target,71,34
"Tarzan, the Ape Man",10,19
Tempest,60,74
The Ten Commandments,83,73
The Ten Commandments,94,87
Tales of Terror,71,62
That Championship Season,71,50
Them!,100,77
Shivers (They Came from Within) (The Parasite Murders),88,59
They Drive by Night,96,71
Thief,93,81
The Thing from Another World,89,73
The Thing,84,92
Thirst,100,43
This Gun for Hire,93,81
Three Amigos!,46,67
The Three Musketeers,78,74
The Three Musketeers,83,78
The Time Machine,77,79
Tommy,74,72
The Toolbox Murders,0,30
Top Secret!,77,80
I corpi presentano tracce di violenza carnale (Torso) (Bodies Bear Traces of Carnal Violence),50,55
Touch of Evil,96,92
Tough Guys,57,55
Treasure Island,100,75
Treasure Island,100,68
Le Procès (The Trial),85,88
The Trip,36,53
Twelve O'Clock High,96,87
Uncommon Valor,56,61
The Undefeated,29,65
Unfaithfully Yours,93,87
Venom,43,31
Vice Versa,43,41
Victory,71,71
Village of the Damned,92,77
The Warriors,89,88
We're No Angels,47,41
Weird Science,56,69
When a Stranger Calls,38,49
Where the Boys Are,88,70
White Christmas,76,88
Winchester '73,100,86
Witness,92,80
A Woman's Face,100,83
The Women,92,88
The Wrong Man,91,75
Wuthering Heights,95,85
Year of the Dragon,56,52
The Yearling,100,77
"Yours, Mine and Ours",50,80
Blue Steel,71,35
Where the Heart Is,10,58
The Guardian,22,32
Mystery Train,88,87
Revolution,10,32
Henry V,100,89
Kiss of Death,88,76
Alice in Wonderland,81,78
My Blue Heaven,71,59
State Fair,83,78
Dick Tracy,63,53
Bombshell (Blonde Bombshell),90,74
Navy Seals,19,42
"Goodbye, Mr. Chips",100,71
102 Dalmatians,31,32
The Champ,86,75
Narrow Margin,58,51
Red Dust,100,79
Desperate Hours,36,23
Ghost,74,80
Memphis Belle,67,79
Faust,94,91
Gun Crazy (Deadly Is the Female),97,84
The Jungle Book,87,82
The Long Goodbye,97,88
Houdini,85,59
Avalon,83,78
The Rookie,29,36
The Long Walk Home,87,84
Anastasia,90,78
Jane Eyre,100,83
The Pit and the Pendulum,56,39
GoodFellas,96,97
After Hours,88,87
White Fang,63,63
Boy Meets Girl (1984),100,72
Mata Hari,57,54
Alice,75,57
Hidden Agenda,83,71
The Connection,95,80
The Entertainer,75,73
"Sorry, Wrong Number",86,78
Awakenings,88,89
Diabolique (Les Diaboliques),95,93
True Colors,47,45
Switch,33,44
The Field,43,81
Oscar,12,63
Night Nurse,86,73
Fury,100,89
Possessed,89,77
Born to Kill,80,76
Toy Soldiers,36,66
Come and See (Idi i smotri),96,96
The Miracle,67,50
Hot Shots!,83,65
Dogfight,78,87
The Hitman,13,45
Teacher's Pet,83,70
Shattered,31,55
The Doctor,82,72
Paradise,36,50
The Commitments,88,90
Frankie & Johnny,66,67
Deceived,39,42
The Star,17,60
Poison,76,68
Cape Fear,75,77
Homo Faber (Voyager),56,72
My Girl,53,77
JFK,84,88
The Man in the Moon,90,85
The Prize,50,70
The Train,92,90
Father of the Bride,70,70
Rush,71,72
Medicine Man,19,46
Platinum Blonde,100,66
The Uninvited,95,80
The Italian Job,83,86
Beethoven,33,35
Tacones Lejanos (High Heels),53,83
The Babe,46,37
The Cutting Edge,56,76
Gladiator,31,69
Deep Cover,86,77
All I Want for Christmas,0,58
Class Act,17,73
Edward II,100,76
Boomerang,44,59
Rapid Fire,40,55
Live Wire,0,29
Of Mice and Men,97,82
Body Parts,40,33
Cool World,6,31
Singles,79,72
The Naked City,86,80
Conquest of Space,60,27
Wind,50,82
The Last of the Mohicans,95,88
Consenting Adults,25,24
Husbands and Wives,93,87
Hero,65,50
"Ned Kelly (Ned Kelly, Outlaw)",43,27
Hallelujah,80,55
Forever Young,57,53
Matinee,94,62
Unforgiven,96,93
Leap of Faith,62,46
Malcolm X,88,91
Love on the Run,80,60
Scent of a Woman,88,92
Nowhere to Run,30,32
Sniper,38,56
The Vanishing,47,46
The Crush,25,41
Boiling Point,18,21
Indian Summer,58,66
Alive,62,68
Point of No Return (The Assassin),50,50
Brother's Keeper,100,88
Born Yesterday,25,27
Stalker,100,93
The Browning Version,89,95
Posse,29,47
Made in America,31,30
Cliffhanger,68,52
Frankenstein,17,47
The Firm,75,64
The Black Scorpion,60,33
The Lodger: A Story of the London Fog,96,76
Equinox,33,42
Gypsy,40,76
Wide Sargasso Sea,56,37
The Secret Garden,88,80
Strictly Ballroom,95,87
Calendar Girl,11,31
Savage Messiah,56,79
Deadfall,0,26
Much Ado About Nothing,90,86
Airborne,21,60
Gettysburg,80,89
Fatal Instinct,18,41
High Noon,96,89
A Home of Our Own,50,72
The Fugitive,96,89
Fearless,87,79
Trauma (Dario Argento's Trauma),57,41
Cool Runnings,77,81
The Skin Game,17,17
The Man Who Loved Women,33,38
Impact,60,52
The Three Musketeers,31,62
Alice in Wonderland,33,62
Scared Stiff,71,74
Gunmen,15,34
Dangerous Game,31,44
The Getaway,33,28
Heaven & Earth,40,71
Snow White and the Seven Dwarfs,98,78
Sugar Hill,20,69
Thumbelina,30,67
The Young Americans,33,42
Alice (Neco z Alenky),100,80
The Last Man on Earth,72,69
Sherman's March,100,86
Bad Girls,9,40
Dream Lover,57,39
Black Beauty,80,76
The Circus,96,94
The Kid,100,95
Wyatt Earp,44,61
Betty,90,61
Blown Away,32,40
The Mask,77,67
Orlacs Hände (The Hands of Orlac),86,82
The Shadow,36,44
It Could Happen to You,71,54
Robin Hood,100,71
Milk Money,8,37
Barcelona,82,80
The Browning Version,78,79
Only You,52,68
The Specialist,7,29
Titanic,91,66
Beloved,78,71
Rudyard Kipling's The Jungle Book,79,55
The Life and Times of Allen Ginsberg,77,71
Junior,36,22
Street Fighter,11,20
Little Women,91,84
Shallow Grave,69,83
Bad Company,27,30
Three Colors: Red (Trois couleurs: Rouge),100,95
True Crime,0,44
L'Enfer,100,74
Nobody's Fool,91,81
The Wild Bunch,93,91
The Quick and the Dead,57,53
Top Dog,0,33
Man of the House,14,33
Hideaway,14,39
The Babysitter,17,16
The Old Dark House,100,72
She,60,52
Village of the Damned,29,27
A Little Princess,97,88
Mad Love,28,49
Bad Boys,42,78
Smoke,93,89
Pocahontas,55,64
Contraband,100,68
Raw Deal,100,81
Babe,97,67
The Prophecy,43,64
Braveheart,77,85
Copycat,78,64
Fair Game,12,14
The Scarlet Letter,13,41
Home for the Holidays,63,72
Kicking and Screaming,55,76
Shadows,100,82
Persuasion,86,83
To Die For,88,65
It Takes Two,8,60
Boomerang!,76,64
Casino,80,93
Jumanji,54,62
Richard III,94,85
Heat,86,94
Zhong Nan Hai bao biao (The Defender) (The Bodyguard from Beijing),71,67
Sabrina,65,64
Heavy Metal,60,67
The Hill,100,93
Sudden Death,51,39
Dead Man Walking,95,86
"Cry, the Beloved Country",85,73
Georgia,80,66
Wuthering Heights,50,63
Broken Arrow,53,44
Restoration,70,59
Black Sheep,28,70
Screamers,30,45
Othello,67,65
The Substitute,41,40
Diabolique,18,34
Before and After,32,35
The Old Man and the Sea,88,67
The Convent (O Convento),38,33
August,14,48
Carried Away,64,41
The Quest,14,36
Flipper,32,34
Twister,57,58
Fear,44,63
The Arrival,64,44
Charlotte Bronte's Jane Eyre,74,67
Last Dance,32,50
Moll Flanders,43,73
The Last Supper,63,70
Cold Comfort Farm,83,82
Independence Day,65,75
The Rock,66,85
The Phantom,42,31
Matilda,90,73
The Island of Dr. Moreau,24,20
The Struggle,29,31
A Time to Kill,66,85
Kingpin,50,69
Chain Reaction,16,27
Infinity,62,35
The Dentist,0,29
Alaska,18,44
Jack,18,49
Freeway,77,76
The Fan,34,34
Harriet the Spy,48,51
House Arrest,10,45
The Hunchback of Notre Dame,71,70
Bulletproof,8,44
Foxfire,27,65
The Associate,28,53
Emma,84,77
Les Visiteurs (The Visitors ),31,79
Selena,67,77
Lone Star,94,83
101 Dalmatians,42,40
Ransom,75,62
Scream,79,79
Michael,38,45
In Love and War,11,50
Turbulence,17,19
Touch,33,34
Metro,15,26
The Crucible,68,66
That Darn Cat,13,23
Hamlet,95,90
Private Parts,75,68
Mother,90,75
Iron Monkey,90,86
McHale's Navy,3,37
Volcano,50,31
Anna Karenina,26,66
Get Carter,84,85
Traveller,79,54
Batman & Robin,11,16
The Van,38,72
Breakdown,80,67
Pippi Longstocking,43,53
Joyride,20,30
Out to Sea,36,52
Nothing to Lose,28,68
Jack Frost,7,30
George of the Jungle,57,41
Contact,63,78
Buddy,25,31
Hoodlum,43,66
Steel,12,16
Fire Down Below,11,36
Bliss,46,54
Picture Perfect,48,37
Shall We Dance? (Shall We Dansu?),91,89
The Game,73,84
Most Wanted,15,40
The Assignment,60,61
The Peacemaker,39,39
No Way Out,90,82
One Night Stand,32,39
Anastasia,85,77
12 Angry Men,92,87
Firestorm,12,26
